37,0.0417,0.0141,0.4771,1.2574,0.5253,1.41,0.4757,1.5021,0.4473,1.649,0.5446,2.1892,0.7152,3.9106,0.8057,7.7379,0.812,13.3891,0.8168,21.6869,0.8106,32.8788,0.7874,45.186,0.765,58.3441
38,0.0414,0.0176,0.2657,0.9837,0.3646,1.2204,0.2045,1.2314,0.2378,1.3864,0.3561,1.6788,0.5274,2.268,0.6816,3.437,0.7492,5.4507,0.7882,8.7104,0.7991,13.2766,0.7854,18.4716,0.7619,24.1667
39,0.05,0.0209,0.4044,1.136,0.2536,1.1793,0.2187,1.248,0.2506,1.424,0.3325,1.7305,0.5206,2.3657,0.7005,3.6248,0.7814,5.774,0.8064,9.1367,0.8123,13.6917,0.7948,18.9257,0.7748,24.4524
40,0.0432,0.0142,0.2433,1.0804,0.3251,1.2565,0.1953,1.3042,0.2593,1.4988,0.3831,1.841,0.5797,2.5841,0.7272,4.0162,0.7801,6.3857,0.7996,9.9421,0.8038,14.7522,0.7947,20.3423,0.7767,26.2492
41,0.0443,0.0142,0.2898,1.0826,0.259,1.2263,0.2391,1.3752,0.3573,1.6711,0.4943,2.1267,0.6294,2.9387,0.7203,4.3191,0.7683,6.4333,0.7841,9.68,0.8024,14.2384,0.7953,19.6009,0.7666,25.2252
42,0.0438,0.0142,0.2028,1.2577,0.4331,1.4698,0.2607,1.4724,0.2763,1.6281,0.318,1.8843,0.4267,2.319,0.6322,3.5293,0.755,5.9889,0.7989,10.3689,0.809,16.6391,0.8,23.8023,0.7857,31.4911
43,0.1597,0.0141,0.3051,1.1647,0.2615,1.3804,0.2229,1.5254,0.2506,1.8404,0.3663,2.7048,0.5204,4.4859,0.6985,7.7887,0.7854,12.9425,0.8081,21.0676,0.8078,32.2361,0.7926,44.9085,0.7816,58.8863
44,0.0487,0.0141,0.2797,1.3805,0.3298,1.5995,0.1795,1.6015,0.1552,1.7475,0.1941,2.0145,0.4029,2.5766,0.6413,3.8537,0.7678,6.281,0.8089,10.2572,0.8202,15.7271,0.8072,22.1449,0.7865,29.0132
45,0.0431,0.0142,0.4408,1.6476,0.4619,1.737,0.4261,1.8814,0.4119,2.0772,0.4087,2.3154,0.4299,2.6752,0.5298,3.4556,0.6502,5.0975,0.7416,8.198,0.7926,13.7114,0.8019,20.8128,0.7896,28.8152
46,0.0445,0.0142,0.3321,1.7153,0.4395,1.8823,0.3221,1.9198,0.3244,2.1082,0.3391,2.3625,0.4369,2.8079,0.6007,3.9122,0.7278,6.2393,0.7922,10.4041,0.8038,16.6774,0.8032,24.4515,0.7924,33.0221
47,0.0473,0.0142,0.3785,1.6525,0.4575,1.7829,0.384,1.9269,0.3794,2.1358,0.3813,2.3978,0.4623,2.8574,0.5828,3.8726,0.7,5.8397,0.7719,9.3304,0.7969,14.6435,0.7992,21.5622,0.7854,29.2742
48,0.0409,0.0141,0.4013,1.6872,0.4612,1.7673,0.4364,1.9473,0.4458,2.1965,0.4569,2.5024,0.4828,2.9367,0.5663,3.8127,0.6438,5.4485,0.7397,8.6016,0.7819,14.0057,0.7982,20.9278,0.7885,28.7243
49,0.0464,0.0141,0.5393,2.0852,0.5113,2.1603,0.5106,2.3777,0.4959,2.6212,0.4775,2.8847,0.4893,3.2503,0.5605,3.9361,0.6638,5.3011,0.7483,7.7952,0.7986,12.3884,0.7992,18.7568,0.7929,26.0223
