2510,36,16,98,16
2520,36,17,98,17
2530,36,54,116,46
2540,36,43,101,42
2550,36,51,102,50
2560,36,40,113,35
2570,36,21,98,21
2580,36,41,113,36
2590,36,37,114,32
2600,36,37,112,33
2610,36,41,106,38
2620,36,26,96,27
2630,36,30,100,30
2640,36,36,97,37
2650,36,41,115,35
2660,36,26,101,25
2670,36,38,114,33
2680,36,26,101,25
2690,36,27,109,24
2700,36,38,114,33
